col_name,Description,creation_method,Source,source link,Data quality issues,Other notes
lon,Longitude of centroid of land area. Lat and Lon together are used as unique IDs for each block of land,centroid of object in UDP,Urban Development Program,https://www.planning.vic.gov.au/guides-and-resources/data-and-insights/urban-development-program,,
lat,Latitude of centroid of land area. Lat and Lon together are used as unique IDs for each block of land,centroid of object in UDP,Urban Development Program,https://www.planning.vic.gov.au/guides-and-resources/data-and-insights/urban-development-program,,
id_stock,Individual identifier of land area created by this repo,"row_number of dataset from stock data in 2016, with extra info for occasions where the stock data has been changed.",Urban Development Program,https://www.planning.vic.gov.au/guides-and-resources/data-and-insights/urban-development-program,,
address,,,,,Sometimes blank if there is no address. Not clean.,
dwellings_est,Best estimate for the number of dwellings that are currently on the piece of land,"The UDP has an accurate measure of the number of dwellings on a property in 2016 (dwlgs_in_2016), then for developments with more than 10 units we use dev_dwlgs_total to see if there have been any additions from 2016-2022. We do not have data on small developments since 2016. ",Urban Development Program,https://www.planning.vic.gov.au/guides-and-resources/data-and-insights/urban-development-program,"Sometimes greenfield projects are listed as one large ""development"" when they are actually lots of smaller lots. Ideally we'd split these up into the subdivided properties",
dwlgs_in_2016,Number of dwellings on site in 2016,Urban Development Program Stock layer,Urban Development Program,https://www.planning.vic.gov.au/guides-and-resources/data-and-insights/urban-development-program,,
lot_size,size of lot in square meters,st_area function,,,,
zone_code,Full zoning code of property,,VICMAP,https://services6.arcgis.com/GB33F62SbDxJjwEL/ArcGIS/rest/services/Vicmap_Planning/FeatureServer/3,Extremely rarely more than one zone will cover the property in error. In this case we pick the zone with the biggest overlap,
zone_short,Name of zone in broad groups,"Grouping of zone codes into convenient types. ""Mixed Use Zone"" is a grouping of lots of different zones that tend to allow high density. (""DZ"",""CCZ"",""CDZ"",""MUZ"",""ACZ"",""PDZ"",""RGZ"", and ""SUZ"" in the Arden nad West Melbourne precinct.)
",VICMAP,https://services6.arcgis.com/GB33F62SbDxJjwEL/ArcGIS/rest/services/Vicmap_Planning/FeatureServer/3,"A small number of ""special development zones"" have been labelled as commercial because it's the best category available, but these might permit some residential development",
heritage_overlay,Number of heritage overlay if there is one,,VICMAP,https://services6.arcgis.com/GB33F62SbDxJjwEL/ArcGIS/rest/services/Vicmap_Planning/FeatureServer/2,HO values are only unique within a council area. Extremely rarely more than one overlay will cover the property. In this case we pick the overlay with the biggest overlap,
heritage_status,Level of heritage,Contains every property that's either zoned as HO by VICMAP or in the Victorian Heritage Database. Where the VHD provides the level of signficance this is provided. ,VICMAP,https://services6.arcgis.com/GB33F62SbDxJjwEL/ArcGIS/rest/services/Vicmap_Planning/FeatureServer/2,Port Phillip data was emailed by council. Linked by lat/lon so not perfect - especially when councils have one entry in the Victorian Heritage Database for a whole area of heritage.,
heritage_db_id,,Victorian Heritage ID where it is available. You can visit the site of the ID by replacing the ID in this URL: https://vhd.heritagecouncil.vic.gov.au/places/13584,Victorian Heritage database,https://vhd.heritagecouncil.vic.gov.au,Linked by lat/lon so not perfect - especially when councils have one entry in the Victorian Heritage Database for a whole area of heritage.,
heritage,T/F if there is any heritage,Checks for any value in heritage_status,,,,
ddo,Number of Design and development overlay if there is one,,VICMAP,https://services6.arcgis.com/GB33F62SbDxJjwEL/ArcGIS/rest/services/Vicmap_Planning/FeatureServer/2,DDO values are only unique within a council area. Extremely rarely more than one overlay will cover the property. In this case we pick the overlay with the biggest overlap,
neighbourhood_character_overlay,Number of Neighbourhood Character Overlay if there is one,,VICMAP,https://services6.arcgis.com/GB33F62SbDxJjwEL/ArcGIS/rest/services/Vicmap_Planning/FeatureServer/2,NCO values are only unique within a council area. Extremely rarely more than one overlay will cover the property. In this case we pick the overlay with the biggest overlap,
feature_type_short,"Presence of VICMAP feature or zoning category, where any civic facility is deemed not suitable for development","Pulled from civic land zones as well as VICMAP Features of Interest such as parks, schools, hospitals and train stations.",VICMAP,https://services6.arcgis.com/GB33F62SbDxJjwEL/ArcGIS/rest/services/Vicmap_Planning/FeatureServer/3,Some civic facilities might be useful for development despite being grouped 'not for development' here - e.g. you could build on a train station car park.,
feature_type,Presence of VICMAP feature,"Only includes information about VICMAP Features of Interest such as parks, schools, hospitals and train stations.",VICMAP,https://services6.arcgis.com/GB33F62SbDxJjwEL/ArcGIS/rest/services/Vicmap_Planning/FeatureServer/3,Some civic facilities might be useful for development despite being grouped 'not for development' here - e.g. you could build on a train station car park.,
prox_walk_time_s_bus,Walking distance to nearest bus (seconds),Created using ORS instance and public transport database from PTV,PTV API,https://www.ptv.vic.gov.au/footer/data-and-reporting/datasets/ptv-timetable-api/,Distances only provided reliably if crow-flies distance is <1.5km,
prox_walk_time_s_tram,Walking distance to nearest tram (seconds),Created using ORS instance and public transport database from PTV,PTV API,https://www.ptv.vic.gov.au/footer/data-and-reporting/datasets/ptv-timetable-api/,Distances only provided reliably if crow-flies distance is <1.5km,
prox_walk_time_s_train,Walking distance to nearest train (seconds),Created using ORS instance and public transport database from PTV,PTV API,https://www.ptv.vic.gov.au/footer/data-and-reporting/datasets/ptv-timetable-api/,Distances only provided reliably if crow-flies distance is <1.5km,
prox_walk_time_s_brt,Walking distance to nearest brt (seconds),Only BRT is Doncaster bus line park and rides. Created using ORS instance and public transport database from PTV,PTV API,https://www.ptv.vic.gov.au/footer/data-and-reporting/datasets/ptv-timetable-api/,Distances only provided reliably if crow-flies distance is <1.5km,
prox_walk_dist_m_bus,Walking distance to nearest bus (meters),Created using ORS instance and public transport database from PTV,PTV API,https://www.ptv.vic.gov.au/footer/data-and-reporting/datasets/ptv-timetable-api/,Distances only provided reliably if crow-flies distance is <1.5km,
prox_walk_dist_m_tram,Walking distance to nearest tram (meters),Created using ORS instance and public transport database from PTV,PTV API,https://www.ptv.vic.gov.au/footer/data-and-reporting/datasets/ptv-timetable-api/,Distances only provided reliably if crow-flies distance is <1.5km,
