long_col_name,shp_file_col_name_short,length
res_possible_desc,ResPossDes,10
zone_short,ZoneShort,9
heritage_overlay,HeOverlay,9
feature_type_short,FetreType,9
res_permitted_possible_desc,ResPerDes,9
prox_walk_time_s_train,PWkSTrain,9
prox_walk_dist_m_train,PWkMTrain,9
traffic_pollution,Pollution,9
dev_dwlgs_unknown_type,DDwlgUnkn,9
dev_prj_name_part,DPrjNPart,9
dev_data_type,DDataType,9
zone_code,ZoneCode,8
heritage_status,HeStatus,8
heritage,Heritage,8
prox_walk_time_s_tram,PWkSTram,8
prox_walk_dist_m_tram,PWkMTram,8
dev_dwlgs_townhouses,DDwlgTwn,8
dev_dwlgs_detached,DDwlgDet,8
dev_prj_name,DPrjName,8
dev_id_stock_former,DIdStOld,8
lga_name_2022,LgaN2022,8
sed_name_2022,SedN2022,8
id_stock,IdStock,7
address,Address,7
dwellings_est,DwlgEst,7
lot_size,LotSize,7
zone_category,ZoneCat,7
feature_type,FtrType,7
res_possible,ResPoss,7
prox_walk_time_s_bus,PWkSBus,7
prox_walk_time_s_brt,PWkSBrt,7
prox_walk_dist_m_bus,PWkMBus,7
prox_walk_dist_m_brt,PWkMBrt,7
prox_dist_m_train,PMTrain,7
dev_id_flow,DIdFlow,7
dev_data_source_year,DDataYr,7
dev_dwlgs_total,DDwlgTl,7
dev_dwlgs_apartments,DDwlgAp,7
dev_height_storeys,DHeight,7
dev_status,DStatus,7
suburb_name_2021,SuburbN,7
heritage_db_id,HeDbId,6
res_permitted_possible,ResPer,6
prox_dist_m_tram,PMTram,6
vacant_in_2016,Vacant,6
dev_prj_id,DPrjId,6
prox_dist_m_bus,PMBus,5
prox_dist_m_brt,PMBrt,5
under_const_in_2016,Const,5
dev_year,DYear,5
postcode_2021,Postc,5
dwlgs_in_2016,Dwlg,4
ced_name_2021,CedN,4
sa1_code_2021,Sa1C,4
sa2_code_2021,Sa2C,4
sa2_name_2021,Sa2N,4
sa3_code_2021,Sa3C,4
sa3_name_2021,Sa3N,4
sa4_code_2021,Sa4C,4
sa4_name_2021,Sa4N,4
lon,lon,3
lat,lat,3
ddo,Ddo,3
neighbourhood_character_overlay,Nco,3
rn,Rn,2
